7717,28903,45066,64585,79586,97598,110076,119574,126448,131590
9133,36283,56317,74806,95067,104979,112061,123337,127208,NA
6835,29272,47730,76376,94135,104810,150469,155978,NA,NA
7059,30114,50598,69234,83659,93132,102958,NA,NA,NA
5131,20869,41922,58677,79222,90853,NA,NA,NA,NA
5682,21481,38177,57816,78429,NA,NA,NA,NA,NA
4204,13569,28925,43554,NA,NA,NA,NA,NA,NA
3106,14343,27644,NA,NA,NA,NA,NA,NA,NA
3617,15327,NA,NA,NA,NA,NA,NA,NA,NA
3157,NA,NA,NA,NA,NA,NA,NA,NA,NA
